STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
ASSAM,NAGAON,2005,2,5,0,0,0,0,0,0,0,0,12,19
ASSAM,NAGAON,2006,3,3,4,0,0,0,0,0,0,0,106,116
ASSAM,NAGAON,2007,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NAGAON,2008,1,0,2,0,0,0,0,0,0,0,146,149
ASSAM,NAGAON,2009,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NAGAON,2010,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NAGAON,2011,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NAGAON,2012,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NAGAON,2013,0,7,0,0,0,0,0,0,0,0,0,7
ASSAM,NALBARI,2001,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NALBARI,2002,1,3,0,0,0,0,0,0,0,0,1,5
ASSAM,NALBARI,2003,0,1,0,0,0,0,0,0,0,0,0,1
ASSAM,NALBARI,2004,1,1,0,0,0,0,0,0,0,0,0,2
ASSAM,NALBARI,2005,1,1,0,0,0,0,0,0,0,0,2,4
ASSAM,NALBARI,2006,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NALBARI,2007,0,3,0,0,0,0,0,0,0,0,13,16
ASSAM,NALBARI,2008,0,2,0,0,0,0,0,0,0,0,0,2
ASSAM,NALBARI,2009,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NALBARI,2010,0,4,0,0,0,0,0,0,0,0,0,4
ASSAM,NALBARI,2011,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,NALBARI,2012,0,2,48,0,0,0,0,0,0,0,0,50
ASSAM,NALBARI,2013,0,6,29,0,0,0,0,0,0,0,1,36
ASSAM,R.P.O.,2001,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2002,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2003,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2004,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2005,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2006,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2007,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2008,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2009,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2010,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2011,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2012,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,R.P.O.,2013,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2002,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2003,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2004,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2005,6,1,0,0,0,0,0,0,0,0,16,23
ASSAM,SIBSAGAR,2006,0,3,0,0,0,0,0,0,0,0,0,3
ASSAM,SIBSAGAR,2007,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2008,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2009,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2010,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2011,0,0,3,0,0,0,0,0,0,0,0,3
ASSAM,SIBSAGAR,2012,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SIBSAGAR,2013,0,2,4,0,0,0,2,0,0,0,23,31
ASSAM,SONITPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SONITPUR,2002,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SONITPUR,2003,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SONITPUR,2004,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SONITPUR,2005,1,30,3,1,5,0,0,0,1,0,40,81
ASSAM,SONITPUR,2006,3,1,2,1,5,0,0,0,1,0,40,53
ASSAM,SONITPUR,2007,0,0,0,0,0,0,0,0,0,0,41,41
ASSAM,SONITPUR,2008,0,1,0,0,0,0,0,0,0,0,1,2
ASSAM,SONITPUR,2009,0,3,0,0,0,0,0,0,0,0,4,7
ASSAM,SONITPUR,2010,4,4,4,0,0,0,0,0,0,0,22,34
ASSAM,SONITPUR,2011,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SONITPUR,2012,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SONITPUR,2013,2,4,2,0,0,0,0,0,0,0,24,32
ASSAM,STF,2013,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2001,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2002,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2003,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2004,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2005,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2006,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2007,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2008,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2009,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2010,2,4,2,0,0,0,0,0,0,0,20,28
ASSAM,TINSUKIA,2011,1,5,0,0,0,0,0,0,0,0,11,17
ASSAM,TINSUKIA,2012,6,3,3,0,0,0,0,0,0,0,12,24
ASSAM,TINSUKIA,2013,1,4,0,0,0,0,0,0,0,0,0,5
ASSAM,TOTAL,2001,0,0,18,0,0,0,0,0,0,0,0,18
ASSAM,TOTAL,2002,2,3,1,0,0,0,6,0,0,1,1,14
ASSAM,TOTAL,2003,2,5,0,0,0,0,12,0,0,0,0,19
ASSAM,TOTAL,2004,1,7,3,0,0,0,8,0,1,1,0,21
ASSAM,TOTAL,2005,13,90,18,1,5,0,0,0,2,0,70,199
ASSAM,TOTAL,2006,11,61,25,1,5,0,0,0,1,1,147,252
ASSAM,TOTAL,2007,2,34,29,0,0,0,0,0,0,1,101,167
ASSAM,TOTAL,2008,1,27,7,0,0,0,0,0,0,1,147,183
ASSAM,TOTAL,2009,4,10,5,0,7,26,30,1,1,8,25,44
ASSAM,TOTAL,2010,10,39,17,0,0,0,75,0,3,0,53,197
ASSAM,TOTAL,2011,8,40,29,0,0,0,142,0,0,0,17,236
ASSAM,TOTAL,2012,15,156,68,0,0,0,122,0,0,0,31,392
ASSAM,TOTAL,2013,14,230,80,0,0,0,129,0,0,1,64,518
ASSAM,UDALGURI,2005,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,UDALGURI,2006,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,UDALGURI,2007,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,UDALGURI,2008,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,UDALGURI,2009,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,UDALGURI,2010,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,UDALGURI,2011,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,UDALGURI,2012,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,UDALGURI,2013,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2001,0,4,8,0,0,0,0,0,0,0,0,12
BIHAR,ARARIA,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARARIA,2003,0,0,0,0,0,0,0,0,0,0,6,6
BIHAR,ARARIA,2004,2,0,0,0,0,0,0,0,0,0,3,5
BIHAR,ARARIA,2005,4,1,0,0,0,0,0,0,0,0,0,5
BIHAR,ARARIA,2006,2,0,0,0,0,0,0,0,0,0,2,4
BIHAR,ARARIA,2007,2,0,0,0,0,0,0,0,0,0,1,3
BIHAR,ARARIA,2008,5,0,0,0,0,0,0,0,0,0,1,6
BIHAR,ARARIA,2009,1,0,10,0,0,0,0,0,0,0,11,22
BIHAR,ARARIA,2010,4,1,2,0,0,0,0,0,0,0,5,12
BIHAR,ARARIA,2011,1,1,1,0,0,0,8,0,0,0,4,15
BIHAR,ARARIA,2012,7,2,52,0,0,0,4,0,0,0,0,65
BIHAR,ARARIA,2013,0,1,25,0,0,0,0,0,0,0,0,26
BIHAR,ARWAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARWAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARWAL,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARWAL,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARWAL,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARWAL,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARWAL,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,ARWAL,2008,1,0,7,0,0,0,0,0,0,0,0,8
BIHAR,ARWAL,2009,5,1,10,0,0,0,0,0,0,0,0,16
BIHAR,ARWAL,2010,1,1,9,0,0,0,0,0,0,0,0,11
BIHAR,ARWAL,2011,0,0,10,0,0,0,0,0,0,0,0,10
BIHAR,ARWAL,2012,1,2,15,0,0,0,0,0,0,0,0,18
BIHAR,ARWAL,2013,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2007,6,8,11,0,0,0,0,0,0,0,0,25
BIHAR,AURANGABAD,2008,1,0,6,0,0,0,0,0,0,0,0,7
BIHAR,AURANGABAD,2009,2,0,16,0,0,0,0,0,0,0,0,18
BIHAR,AURANGABAD,2010,3,7,32,0,0,0,0,0,0,0,0,42
BIHAR,AURANGABAD,2011,2,8,21,0,0,0,0,0,0,0,0,31
BIHAR,AURANGABAD,2012,3,6,43,0,0,0,1,0,0,0,0,53
BIHAR,AURANGABAD,2013,3,6,0,0,0,0,0,0,0,0,0,9
BIHAR,BAGAHA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BAGAHA,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BAGAHA,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BAGAHA,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BAGAHA,2005,0,0,8,0,0,0,0,0,0,0,0,8
BIHAR,BAGAHA,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BAGAHA,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BAGAHA,2008,0,0,4,0,0,0,0,0,0,0,0,4
BIHAR,BAGAHA,2009,2,0,2,0,0,0,0,0,0,0,0,4
BIHAR,BAGAHA,2010,0,0,5,0,0,0,0,0,0,0,1,6
BIHAR,BAGAHA,2011,4,1,41,0,0,0,0,0,0,0,0,46
BIHAR,BAGAHA,2012,0,0,43,0,0,0,0,0,0,0,0,43
BIHAR,BAGAHA,2013,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BANKA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BANKA,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BANKA,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BANKA,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BANKA,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BANKA,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BANKA,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BANKA,2008,2,0,5,0,0,0,0,0,0,0,0,7
BIHAR,BANKA,2009,2,0,33,0,0,0,0,0,0,0,0,35
BIHAR,BANKA,2010,2,0,28,0,0,0,0,0,0,0,0,30
BIHAR,BANKA,2011,0,0,56,0,0,0,0,0,0,0,0,56
BIHAR,BANKA,2012,0,0,35,0,0,0,0,0,0,0,0,35
BIHAR,BANKA,2013,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2005,0,0,4,0,0,0,0,0,0,0,0,4
BIHAR,BEGUSARAI,2006,0,0,0,0,0,0,0,0,0,1,0,1
BIHAR,BEGUSARAI,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2008,0,0,5,0,0,0,0,0,0,0,0,5
BIHAR,BEGUSARAI,2009,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2010,0,0,6,0,0,0,0,0,0,0,0,6
BIHAR,BEGUSARAI,2011,3,0,1,0,0,0,0,0,0,0,0,4
BIHAR,BEGUSARAI,2012,6,6,96,0,0,0,3,0,1,0,0,112
BIHAR,BEGUSARAI,2013,4,1,0,0,0,0,0,0,0,0,0,5
BIHAR,BETTIAH,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BETTIAH,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BETTIAH,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BETTIAH,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BETTIAH,2005,0,0,10,0,0,0,0,0,0,0,0,10
BIHAR,BETTIAH,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BETTIAH,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BETTIAH,2008,0,0,8,0,0,0,0,0,0,0,0,8
BIHAR,BETTIAH,2009,0,1,0,0,0,0,0,0,0,0,0,1
BIHAR,BETTIAH,2010,0,0,7,0,0,0,0,0,0,0,0,7
BIHAR,BETTIAH,2011,7,7,63,0,0,0,0,0,0,0,0,77
BIHAR,BETTIAH,2012,2,3,100,0,0,0,0,1,0,0,0,106
BIHAR,BETTIAH,2013,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHABHUA,2001,0,3,4,0,0,0,2,0,0,0,10,19
BIHAR,BHABHUA,2002,0,0,0,0,0,0,1,0,0,0,0,1
BIHAR,BHABHUA,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHABHUA,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHABHUA,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHABHUA,2006,0,3,0,0,0,0,0,0,0,0,0,3
BIHAR,BHABHUA,2007,0,0,0,0,0,0,8,0,1,1,0,10
BIHAR,BHABHUA,2008,3,9,2,0,0,0,10,0,0,0,0,24
BIHAR,BHABHUA,2009,0,0,10,0,0,0,0,0,0,0,0,10
BIHAR,BHABHUA,2010,0,0,6,0,0,0,0,0,0,0,0,6
BIHAR,BHABHUA,2011,0,0,29,0,0,0,7,0,0,0,0,36
BIHAR,BHABHUA,2012,0,1,30,0,0,0,3,0,0,0,0,34
BIHAR,BHABHUA,2013,0,0,48,0,0,0,0,0,0,0,0,48
BIHAR,BHAGALPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHAGALPUR,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHAGALPUR,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHAGALPUR,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHAGALPUR,2005,0,1,0,0,0,0,0,0,0,0,0,1
BIHAR,BHAGALPUR,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHAGALPUR,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHAGALPUR,2008,17,8,97,0,0,0,0,0,0,0,0,122
BIHAR,BHAGALPUR,2009,0,0,22,0,0,0,34,0,0,0,0,56
BIHAR,BHAGALPUR,2010,1,1,47,0,0,0,80,0,0,0,0,129
BIHAR,BHAGALPUR,2011,1,0,12,0,0,0,0,0,0,0,0,13
BIHAR,BHAGALPUR,2012,3,8,81,0,0,0,0,0,0,0,0,92
BIHAR,BHAGALPUR,2013,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2007,1,1,7,0,0,0,10,0,0,0,0,19
BIHAR,BHOJPUR,2008,12,4,13,0,0,0,30,0,0,0,1,60
BIHAR,BHOJPUR,2009,1,0,25,0,0,0,0,0,0,0,0,26
BIHAR,BHOJPUR,2010,11,5,49,0,0,0,0,0,0,0,0,65
BIHAR,BHOJPUR,2011,8,5,58,0,0,0,0,0,0,0,0,71
BIHAR,BHOJPUR,2012,2,0,52,0,0,0,0,0,0,0,0,54
BIHAR,BHOJPUR,2013,3,1,50,0,0,0,3,0,0,0,0,57
BIHAR,BUXAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BUXAR,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BUXAR,2003,0,1,4,0,0,0,0,0,0,0,0,5
BIHAR,BUXAR,2004,0,0,10,0,0,0,0,0,0,0,0,10
BIHAR,BUXAR,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BUXAR,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BUXAR,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BUXAR,2008,3,2,5,0,0,0,0,0,0,0,0,10
BIHAR,BUXAR,2009,2,2,19,0,0,0,0,0,0,0,0,23
BIHAR,BUXAR,2010,6,2,18,0,0,0,0,0,0,0,0,26
BIHAR,BUXAR,2011,5,3,32,0,0,0,0,0,0,0,0,40
BIHAR,BUXAR,2012,1,0,53,0,0,0,0,0,0,0,0,54
BIHAR,BUXAR,2013,0,1,0,0,0,0,0,0,0,0,0,1
BIHAR,DARBHANGA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2008,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2009,7,3,30,0,0,0,0,0,0,0,0,40
BIHAR,DARBHANGA,2010,12,9,77,0,0,0,21,0,0,0,0,119
BIHAR,DARBHANGA,2011,4,4,37,0,0,0,9,0,0,0,0,54
BIHAR,DARBHANGA,2012,0,2,95,0,0,0,0,0,0,0,0,97
BIHAR,DARBHANGA,2013,1,2,4,1,0,1,25,0,2,0,1,37
BIHAR,GAYA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GAYA,2002,0,0,0,0,0,0,0,0,0,1,0,1
BIHAR,GAYA,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GAYA,2004,1,0,0,0,0,0,0,0,0,0,0,1
BIHAR,GAYA,2005,0,0,0,0,0,0,0,0,0,1,0,1
BIHAR,GAYA,2006,0,2,0,0,0,0,0,0,0,0,0,2
BIHAR,GAYA,2007,0,5,41,0,0,0,0,0,0,0,0,46
BIHAR,GAYA,2008,0,7,19,0,0,0,0,0,0,0,0,26
BIHAR,GAYA,2009,0,5,0,0,0,0,0,0,0,0,0,5
BIHAR,GAYA,2010,0,2,0,0,0,0,0,0,0,0,0,2
BIHAR,GAYA,2011,0,0,82,0,0,0,0,0,0,0,0,82
BIHAR,GAYA,2012,8,19,87,0,0,0,0,0,0,0,0,114
BIHAR,GAYA,2013,9,21,91,0,0,0,0,0,0,0,3,124
BIHAR,GOPALGANJ,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2008,0,0,23,0,0,0,0,0,0,0,0,23
BIHAR,GOPALGANJ,2009,0,1,52,0,0,0,0,0,0,0,0,53
BIHAR,GOPALGANJ,2010,3,2,73,0,0,0,0,0,0,0,0,78
BIHAR,GOPALGANJ,2011,4,4,86,0,0,0,0,0,0,0,0,94
BIHAR,GOPALGANJ,2012,5,3,45,0,0,0,0,0,0,0,0,53
BIHAR,GOPALGANJ,2013,4,2,41,0,0,0,0,0,0,0,0,47
BIHAR,JAMALPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2002,0,0,0,1,0,0,0,0,0,0,0,1
BIHAR,JAMALPUR RLY.,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2008,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2009,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2010,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2011,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2012,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMUI,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMUI,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMUI,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMUI,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMUI,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMUI,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMUI,2007,2,4,4,0,0,0,0,0,0,0,0,10
BIHAR,JAMUI,2008,1,3,2,0,0,0,2,0,0,0,0,8
BIHAR,JAMUI,2009,3,1,3,0,0,0,20,0,0,0,0,27
BIHAR,JAMUI,2010,3,2,31,0,0,0,27,0,0,0,0,63
BIHAR,JAMUI,2011,3,0,3,0,0,0,7,0,0,0,0,13
BIHAR,JAMUI,2012,11,3,21,0,0,0,0,0,0,0,0,35
BIHAR,JAMUI,2013,2,1,1,0,0,0,12,0,0,1,0,17
BIHAR,JEHANABAD,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JEHANABAD,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JEHANABAD,2003,0,0,0,0,0,0,0,0,0,0,1,1
BIHAR,JEHANABAD,2004,1,0,2,0,0,0,0,0,0,0,0,3
BIHAR,JEHANABAD,2005,0,0,2,0,0,0,0,0,0,0,0,2
BIHAR,JEHANABAD,2006,0,1,0,0,0,0,0,0,0,0,2,3
BIHAR,JEHANABAD,2007,2,0,0,0,0,0,1,0,0,0,1,4
BIHAR,JEHANABAD,2008,0,0,5,0,0,0,1,0,0,0,0,6
BIHAR,JEHANABAD,2009,1,1,0,0,0,0,1,0,0,0,28,31
BIHAR,JEHANABAD,2010,1,1,6,0,0,0,0,0,0,0,0,8
BIHAR,JEHANABAD,2011,1,0,3,0,0,0,0,0,0,0,0,4
BIHAR,JEHANABAD,2012,5,2,33,0,0,0,0,0,0,0,0,40
BIHAR,JEHANABAD,2013,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR,2004,1,0,0,0,0,0,0,0,0,0,0,1
BIHAR,KATIHAR,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR,2008,0,0,5,0,0,0,0,0,0,0,0,5
BIHAR,KATIHAR,2009,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR,2010,20,11,92,0,0,0,0,0,0,0,0,123
BIHAR,KATIHAR,2011,3,9,79,0,0,0,0,0,0,0,1,92
BIHAR,KATIHAR,2012,1,14,82,0,0,0,0,0,0,0,0,97
BIHAR,KATIHAR,2013,7,5,13,0,0,0,0,0,0,0,0,25
BIHAR,KATIHAR RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2002,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2003,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2004,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2005,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2006,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2007,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2008,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2009,1,0,0,0,0,0,0,0,0,0,0,1
BIHAR,KATIHAR RLY.,2010,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2011,0,0,4,0,0,0,0,0,0,0,0,4
BIHAR,KATIHAR RLY.,2012,0,0,0,0,0,0,0,0,0,0,0,0
